"Area","Building","Tourist","Expenditure"
"서울",132475,27677860,3985046282778
"부산",53391,5284413,967530362343
"대구",35707,984702,594790691981
"인천",37321,9006523,549003297226
"광주",20742,503517,332384227917
"대전",21767,483927,285148275583
"울산",19377,1068907,202721844866
"세종",3849,114821,30925245591
"경기",160465,9359910,2491254341747
"강원",39817,1854111,328332548161
"충북",28650,781505,248462798838
"충남",37500,1655436,365120937063
"전북",28331,915657,279319864816
"전남",33360,2108190,252695143496
"경북",50490,1700946,403197549177
"경남",62642,2199427,501632134227
"제주",19822,5920797,263440655375
